label,region,R,G,B,A
668,Cbm_Left_CrusII_med,0.59765625,0.0,0.796875,1
669,Cbm_Left_CrusII_mid,0.59765625,0.55078125,0.81640625,1
670,Cbm_Left_CrusII_lat,0.796875,0.796875,0.99609375,1
671,Cbm_Left_7med,0.12109375,0.828125,0.7578125,1
672,Cbm_Left_7mid,0.01171875,0.99609375,0.92578125,1
673,Cbm_Left_7lat,0.796875,0.99609375,0.99609375,1
674,Cbm_Left_8med,0.3359375,0.2890625,0.57421875,1
675,Cbm_Left_8mid,0.4453125,0.4453125,0.7421875,1
676,Cbm_Left_8lat,0.71875,0.6953125,0.99609375,1
677,Cbm_Left_PUNs,0.4921875,0.5390625,0.14453125,1
678,Cbm_Left_TONs,0.73828125,0.76953125,0.45703125,1
679,Cbm_Left_FLOs,0.9375,0.8984375,0.546875,1
690,CbmWM_Gyri_Left,0.4765625,0.52734375,0.1953125,1
691,CbmWM_Gyri_Right,0.4765625,0.52734375,0.1953125,1
701,CSF-FSL-FAST,0.46875,0.0703125,0.5234375,1
702,GrayMatter-FSL-FAST,0.80078125,0.2421875,0.3046875,1
703,WhiteMatter-FSL-FAST,0.0,0.87890625,0.0,1
999,SUSPICIOUS,0.99609375,0.390625,0.390625,1
1000,ctx-lh-unknown,0.09765625,0.01953125,0.09765625,1
1001,ctx-lh-bankssts,0.09765625,0.390625,0.15625,1
1002,ctx-lh-caudalanteriorcingulate,0.48828125,0.390625,0.625,1
1003,ctx-lh-caudalmiddlefrontal,0.390625,0.09765625,0.0,1
1004,ctx-lh-corpuscallosum,0.46875,0.2734375,0.1953125,1
1005,ctx-lh-cuneus,0.859375,0.078125,0.390625,1
1006,ctx-lh-entorhinal,0.859375,0.078125,0.0390625,1
1007,ctx-lh-fusiform,0.703125,0.859375,0.546875,1
1008,ctx-lh-inferiorparietal,0.859375,0.234375,0.859375,1
1009,ctx-lh-inferiortemporal,0.703125,0.15625,0.46875,1
1010,ctx-lh-isthmuscingulate,0.546875,0.078125,0.546875,1
1011,ctx-lh-lateraloccipital,0.078125,0.1171875,0.546875,1
1012,ctx-lh-lateralorbitofrontal,0.13671875,0.29296875,0.1953125,1
1013,ctx-lh-lingual,0.87890625,0.546875,0.546875,1
1014,ctx-lh-medialorbitofrontal,0.78125,0.13671875,0.29296875,1
1015,ctx-lh-middletemporal,0.625,0.390625,0.1953125,1
1016,ctx-lh-parahippocampal,0.078125,0.859375,0.234375,1
1017,ctx-lh-paracentral,0.234375,0.859375,0.234375,1
1018,ctx-lh-parsopercularis,0.859375,0.703125,0.546875,1
1019,ctx-lh-parsorbitalis,0.078125,0.390625,0.1953125,1
1020,ctx-lh-parstriangularis,0.859375,0.234375,0.078125,1
1021,ctx-lh-pericalcarine,0.46875,0.390625,0.234375,1
1022,ctx-lh-postcentral,0.859375,0.078125,0.078125,1
1023,ctx-lh-posteriorcingulate,0.859375,0.703125,0.859375,1
1024,ctx-lh-precentral,0.234375,0.078125,0.859375,1
1025,ctx-lh-precuneus,0.625,0.546875,0.703125,1
1026,ctx-lh-rostralanteriorcingulate,0.3125,0.078125,0.546875,1
1027,ctx-lh-rostralmiddlefrontal,0.29296875,0.1953125,0.48828125,1
1028,ctx-lh-superiorfrontal,0.078125,0.859375,0.625,1
1029,ctx-lh-superiorparietal,0.078125,0.703125,0.546875,1
1030,ctx-lh-superiortemporal,0.546875,0.859375,0.859375,1
1031,ctx-lh-supramarginal,0.3125,0.625,0.078125,1
1032,ctx-lh-frontalpole,0.390625,0.0,0.390625,1
1033,ctx-lh-temporalpole,0.2734375,0.2734375,0.2734375,1
1034,ctx-lh-transversetemporal,0.5859375,0.5859375,0.78125,1
1035,ctx-lh-insula,0.99609375,0.75,0.125,1
2000,ctx-rh-unknown,0.09765625,0.01953125,0.09765625,1
2001,ctx-rh-bankssts,0.09765625,0.390625,0.15625,1
2002,ctx-rh-caudalanteriorcingulate,0.48828125,0.390625,0.625,1
2003,ctx-rh-caudalmiddlefrontal,0.390625,0.09765625,0.0,1
2004,ctx-rh-corpuscallosum,0.46875,0.2734375,0.1953125,1
2005,ctx-rh-cuneus,0.859375,0.078125,0.390625,1
2006,ctx-rh-entorhinal,0.859375,0.078125,0.0390625,1
2007,ctx-rh-fusiform,0.703125,0.859375,0.546875,1
